iter	MultiClass
0	-2.859119613
1	-2.611276683
2	-2.432276756
3	-2.285647274
4	-2.168314066
5	-2.0705083
6	-1.98488912
7	-1.907303265
8	-1.837564347
9	-1.776000781
10	-1.719825142
11	-1.668513173
12	-1.621059252
13	-1.579539824
14	-1.537096341
15	-1.50071485
16	-1.465193959
17	-1.431734114
18	-1.40190716
19	-1.37371173
20	-1.346635315
21	-1.321215089
22	-1.297359691
23	-1.272607971
24	-1.251670488
25	-1.230429756
26	-1.210118588
27	-1.189870177
28	-1.171751769
29	-1.153515115
30	-1.135827634
31	-1.118565006
32	-1.102442345
33	-1.087506459
34	-1.073487224
35	-1.059090567
36	-1.04627758
37	-1.033115822
38	-1.020310122
39	-1.008629532
40	-0.997745859
41	-0.9871944036
42	-0.9771660851
43	-0.9661498005
44	-0.9566136293
45	-0.9463940111
46	-0.9376251863
47	-0.927262083
48	-0.9187987027
49	-0.910851478
50	-0.9031935389
51	-0.8952481192
52	-0.8871501562
53	-0.8798498506
54	-0.8726805721
55	-0.8647562948
56	-0.8577096523
57	-0.8508398223
58	-0.8449109003
59	-0.837806222
60	-0.8320456925
61	-0.8251621726
62	-0.8191973341
63	-0.8142349433
64	-0.8089717807
65	-0.8041081326
66	-0.7985162564
67	-0.7922617495
68	-0.7877810096
69	-0.7828987
70	-0.7782435049
71	-0.7733190084
72	-0.7681695607
73	-0.7633166437
74	-0.758570475
75	-0.7540534608
76	-0.7507160043
77	-0.7465979936
78	-0.74181628
79	-0.7374298324
80	-0.7331553143
81	-0.7297299394
82	-0.7259069126
83	-0.7219932281
84	-0.7186247219
85	-0.7149339855
86	-0.7107797617
87	-0.7070460009
88	-0.7036964309
89	-0.7003092792
90	-0.6975076548
91	-0.6939784312
92	-0.6905844464
93	-0.6872449648
94	-0.6843572616
95	-0.6817489543
96	-0.6788076019
97	-0.6756935978
98	-0.6729478147
99	-0.6704634637
100	-0.6672898317
101	-0.6645810504
102	-0.6619094243
103	-0.6590939234
104	-0.6563998464
105	-0.6539112114
106	-0.6511077407
107	-0.6491523552
108	-0.6469907707
109	-0.6448631595
110	-0.6424501839
111	-0.6403716956
112	-0.6387382208
113	-0.6361890374
114	-0.6344263309
115	-0.6323649763
116	-0.6302581368
117	-0.6286830356
118	-0.626562381
119	-0.6241411473
120	-0.6222306325
121	-0.6202387161
122	-0.6182894176
123	-0.6161603772
124	-0.6147360185
125	-0.6126844966
126	-0.6110513885
127	-0.6094140963
128	-0.607704683
129	-0.606279115
130	-0.6044956763
131	-0.6028626446
132	-0.601172819
133	-0.5996813659
134	-0.5979440078
135	-0.5965718335
136	-0.5951059612
137	-0.5935518676
138	-0.5920842398
139	-0.5906647662
140	-0.5892335544
141	-0.5880512528
142	-0.5868402739
143	-0.5852766971
144	-0.5840662203
145	-0.5828657054
146	-0.5817367245
147	-0.5806791601
148	-0.5794648925
149	-0.5782153206
